"Notes"	"State"	"State Code"	"Single Race 6"	"Single Race 6 Code"	"Month"	"Month Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Jan., 2018"	"2018/01"	"Female"	"F"	26	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Jan., 2018"	"2018/01"	"Male"	"M"	39	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Feb., 2018"	"2018/02"	"Female"	"F"	16	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Feb., 2018"	"2018/02"	"Male"	"M"	41	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Mar., 2018"	"2018/03"	"Female"	"F"	23	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Mar., 2018"	"2018/03"	"Male"	"M"	36	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Apr., 2018"	"2018/04"	"Male"	"M"	16	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"May, 2018"	"2018/05"	"Female"	"F"	15	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"May, 2018"	"2018/05"	"Male"	"M"	20	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Jun., 2018"	"2018/06"	"Female"	"F"	13	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Jun., 2018"	"2018/06"	"Male"	"M"	18	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Jul., 2018"	"2018/07"	"Male"	"M"	32	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Aug., 2018"	"2018/08"	"Female"	"F"	13	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Aug., 2018"	"2018/08"	"Male"	"M"	27	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Sep., 2018"	"2018/09"	"Female"	"F"	17	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Sep., 2018"	"2018/09"	"Male"	"M"	29	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Oct., 2018"	"2018/10"	"Female"	"F"	16	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Oct., 2018"	"2018/10"	"Male"	"M"	30	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Nov., 2018"	"2018/11"	"Female"	"F"	11	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Nov., 2018"	"2018/11"	"Male"	"M"	34	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Dec., 2018"	"2018/12"	"Female"	"F"	11	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Dec., 2018"	"2018/12"	"Male"	"M"	27	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Jan., 2019"	"2019/01"	"Female"	"F"	13	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Jan., 2019"	"2019/01"	"Male"	"M"	24	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Feb., 2019"	"2019/02"	"Male"	"M"	26	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Mar., 2019"	"2019/03"	"Female"	"F"	10	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Mar., 2019"	"2019/03"	"Male"	"M"	34	Not Applicable	Not Applicable
	"Michigan"	"26"	"Black or African American"	"2054-5"	"Apr., 2019"	"2019/04"	"Female"	"F"	15	Not Applicable	Not Applicable
